iter	Passed	Remaining
397	294013	444714
398	294861	444139
399	295705	443557
400	296519	442930
401	297352	442330
402	298060	441543
403	298832	440852
404	299717	440326
405	300738	439996
406	301569	439387
407	302400	438777
408	303151	438050
409	303932	437366
410	304619	436547
411	305506	436014
412	306374	435451
413	307300	434970
414	308145	434373
415	308975	433754
416	309744	433047
417	310480	432296
418	311365	431750
419	312163	431082
420	312850	430262
421	313542	429449
422	314254	428664
423	314959	427869
424	315687	427106
425	316387	426305
426	317057	425466
427	317787	424706
428	318575	424024
429	319345	423318
430	320080	422565
431	320762	421743
432	321536	421042
433	322418	420481
434	323175	419756
435	323898	418987
436	324674	418288
437	325321	417421
438	326055	416667
439	326770	415889
440	327512	415146
441	328275	414429
442	328999	413663
443	329735	412911
444	330428	412107
445	331106	411284
446	331826	410514
447	332554	409755
448	333219	408917
449	333878	408073
450	334611	407320
451	335277	406487
452	335954	405666
453	336673	404897
454	337528	404292
455	338397	403702
456	339217	403052
457	339912	402254
458	340617	401468
459	341313	400671
460	342022	399891
461	342731	399111
462	343411	398297
463	344234	397649
464	344938	396864
465	345652	396091
466	346372	395324
467	347085	394550
468	347739	393709
469	348432	392913
470	349167	392165
471	349850	391357
472	350524	390541
473	351227	389759
474	351851	388888
475	352526	388075
476	353260	387327
477	354112	386708
478	355052	386184
479	355856	385511
480	356584	384755
481	357297	383984
482	357958	383155
483	358688	382403
484	359420	381652
485	360095	380842
486	360783	380045
487	361488	379266
488	362169	378463
489	362852	377662
490	363556	376884
491	364233	376078
492	364943	375306
493	365644	374526
494	366312	373712
495	366992	372911
496	367669	372108
497	368359	371318
498	369098	370577
499	369905	369905
500	370759	369279
501	371553	368593
502	372239	367799
503	372944	367025
504	373639	366240
505	374332	365455
506	375003	364648
507	375729	363895
508	376425	363113
509	377097	362309
510	377779	361515
511	378475	360734
512	379204	359985
513	379882	359188
514	380594	358423
515	381255	357612
516	381955	356836
517	382637	356044
518	383315	355249
519	383964	354428
520	384693	353681
521	385474	352982
522	386292	352316
523	387023	351571
524	387702	350778
525	388698	350272
526	389652	349726
527	390952	349487
528	392119	349127
529	393103	348600
530	394069	348057
531	395248	347700
532	396191	347131
533	397303	346710
534	398361	346239
535	399074	345467
536	399931	344820
537	400722	344114
538	401579	343466
539	402514	342882
540	403349	342213
541	404161	341523
542	404898	340770
543	405739	340105
544	406569	339429
545	407509	338844
546	408404	338221
547	409239	337547
548	410052	336855
549	410722	336045
550	411510	335332
551	412250	334580
552	412994	333830
553	413692	333044
554	414556	332392
555	415339	331674
556	416241	331050
557	416967	330286
558	417859	329652
559	418760	329025
560	419552	328312
561	420351	327604
562	421090	326849
563	421940	326181
564	422671	325419
565	423421	324673
566	424213	323958
567	424899	323162
568	425603	322381
569	426423	321688
570	427045	320844
571	428085	320315
572	428988	319682
573	429962	319101
574	430804	318421
575	431551	317669
576	432413	317003
577	433146	316241
578	434035	315594
579	434852	314893
580	435524	314087
581	436307	313361
582	437017	312583
583	437691	311780
584	438497	311070
585	439229	310308
586	439991	309567
587	440831	308881
588	441527	308094
589	442329	307381
590	443051	306612
591	443769	305841
592	444543	305107
593	445271	304343
594	446043	303609
595	446772	302846
596	447432	302035
597	448200	301298
598	448916	300526
599	449686	299791
600	450561	299125
601	451363	298410
602	452148	297682
603	452831	296889
604	453554	296122
605	454345	295399
606	455031	294608
607	455716	293817
608	456513	293098
609	457234	292330
610	457998	291589
611	458685	290800
612	459431	290048
613	460214	289320
614	460981	288582
615	461652	287783
616	462405	287036
617	463043	286217
618	463828	285490
619	464631	284774
620	465424	284051
621	466336	283400
622	467104	282661
623	467882	281928
624	468603	281162
625	469285	280371
626	470093	279657
627	470832	278900
628	471493	278098
629	472314	277391
630	472933	276564
631	473628	275783
632	474472	275089
633	475142	274293
634	475870	273531
635	476657	272803
636	477375	272036
637	478143	271297
638	478885	270543
639	479590	269769
640	480446	269080
641	481217	268342
642	482212	267729
643	483038	267021
644	483880	266321
645	484639	265576
646	485337	264797
647	486133	264072
648	486891	263326
649	487542	262522
650	488342	261799
651	489089	261048
652	489923	260342
653	490662	259586
654	491410	258834
655	492243	258127
656	492960	257359
657	493660	256583
658	494507	255883
659	495211	255108
660	495970	254363
661	496726	253615
662	497504	252879
663	498496	252251
664	499240	251497
665	500004	250753
666	500734	249991
667	501443	249220
668	502204	248474
669	502906	247700
670	503634	246938
671	504402	246196
672	505132	245435
673	505906	244696
674	506628	243932
675	507351	243168
676	508122	242427
677	508849	241666
678	509571	240901
679	510327	240154
680	511047	239389
681	511810	238644
682	512553	237890
683	513337	237155
684	514277	236492
685	515021	235738
686	515735	234971
687	516502	234227
688	517208	233457
689	518044	232744
690	518680	231942
691	519414	231184
692	520229	230462
693	520885	229670
694	521588	228898
695	522394	228172
696	523094	227399
697	523878	226663
698	524584	225893
699	525300	225128
700	526064	224384
701	526880	223661
702	527650	222919
703	528480	222202
704	529217	221445
705	530123	220759
706	530988	220055
707	531804	219331
708	532584	218592
709	533414	217873
710	534601	217299
711	535519	216614
712	536526	215964
713	537342	215237
714	538210	214531
715	538924	213763
716	539656	213002
717	540452	212267
718	541241	211528
719	542064	210802
720	542838	210058
721	543563	209294
722	544335	208548
723	545073	207790
724	545875	207056
725	546694	206328
726	547456	205578
727	548320	204867
728	548977	204078
729	549677	203305
730	550461	202563
731	551224	201814
732	551912	201037
733	552666	200285
734	553355	199509
735	554157	198773
736	554880	198010
737	555591	197242
738	556361	196495
739	557046	195719
740	557855	194985
741	558564	194217
742	559790	193628
743	560484	192855
744	561239	192102
745	562104	191386
746	562932	190658
747	563678	189902
748	564473	189162
749	565209	188403
750	565993	187659
751	566669	186880
752	567368	186109
753	568140	185361
754	568844	184591
755	569541	183820
756	570335	183079
757	571054	182315
758	571664	181516
759	572477	180782
760	573211	180023
761	573948	179264
762	574663	178499
763	575331	177720
764	576126	176979
765	576817	176207
766	577566	175453
767	578494	174753
768	579241	173998
769	580017	173251
770	580777	172500
771	581494	171736
772	582287	170995
773	583015	170234
774	583669	169452
775	584447	168706
776	585156	167940
777	585952	167199
778	586639	166427
779	587330	165657
780	588083	164904
781	588798	164140
782	589445	163358
783	590266	162624
784	590948	161852
785	591584	161067
786	592369	160323
787	593124	159571
788	593962	158841
789	594777	158105
790	595578	157365
791	596361	156620
792	597102	155864
793	597928	155130
794	598671	154374
795	599404	153616
796	600208	152876
797	600957	152122
798	601686	151362
799	602461	150615
800	603167	149850
801	603961	149107
802	604660	148341
803	605386	147581
804	606182	146839
805	606908	146079
806	607664	145327
807	608444	144580
808	609209	143830
809	610099	143109
810	610930	142374
811	611789	141645
812	612574	140899
813	613574	140202
814	614411	139467
815	615101	138699
816	615832	137940
817	616631	137196
818	617401	136446
819	618233	135709
820	618885	134933
821	619672	134186
822	620471	133442
823	621167	132676
824	621936	131926
825	622651	131163
826	623327	130393
827	624161	129656
828	624914	128902
829	625642	128143
830	626522	127415
831	627251	126656
832	628014	125904
833	628783	125153
834	629451	124382
835	630246	123636
836	630951	122873
837	631659	122110
838	632433	121360
839	633128	120595
840	633905	119846
841	634667	119094
842	635310	118319
843	636093	117571
844	636760	116802
845	637417	116031
846	638229	115288
847	638859	114512
848	639539	113746
849	640330	112999
850	641074	112244
851	641922	111507
852	642754	110767
853	643506	110013
854	644439	109290
855	645188	108536
856	645989	107790
857	646744	107036
858	647434	106272
859	648268	105532
860	648943	104765
861	649636	104002
862	650424	103254
863	651053	102480
864	651808	101727
865	652509	100965
866	653201	100202
867	654088	99469
868	654841	98715
869	655509	97949
870	656286	97199
871	657026	96444
872	657958	95716
873	658727	94965
874	659394	94199
875	660203	93453
876	660893	92690
877	661513	91918
878	662332	91174
879	663003	90409
880	663761	89656
881	664586	88912
882	665274	88150
883	666094	87406
884	666713	86635
885	667362	85868
886	668421	85154
887	669449	84435
888	670474	83715
889	671132	82948
890	671915	82198
891	672673	81444
892	673520	80701
893	674469	79970
894	675302	79225
895	676275	78496
896	677075	77746
897	677965	77007
898	678717	76251
899	679427	75491
900	680241	74743
901	680932	73981
902	681594	73216
903	682399	72467
904	683129	71709
905	683963	70963
906	684652	70201
907	685375	69443
908	686155	68691
909	686826	67927
910	687505	67165
911	688288	66413
912	689042	65659
913	689885	64912
914	690729	64166
915	691488	63411
916	692273	62659
917	692989	61901
918	693756	61147
919	694481	60389
920	695173	59629
921	695973	58878
922	696614	58114
923	697320	57355
924	698106	56603
925	698815	55844
926	699582	55091
927	700364	54338
928	701103	53582
929	701899	52831
930	702546	52068
931	703239	51309
932	704058	50559
933	704750	49800
934	705549	49048
935	706442	48303
936	707195	47548
937	707975	46795
938	708661	46036
939	709371	45279
940	710193	44528
941	710888	43770
942	711565	43010
943	712355	42258
944	713022	41498
945	713793	40745
946	714551	39990
947	715255	39233
948	716073	38482
949	716805	37726
950	717525	36970
951	718316	36217
952	719047	35461
953	719751	34704
954	720491	33949
955	721239	33195
956	722068	32444
957	722904	31693
958	723594	30935
959	724358	30181
960	725103	29426
961	725841	28671
962	726570	27916
963	727273	27159
964	728066	26406
965	728811	25651
966	729492	24894
967	730297	24142
968	731023	23386
969	731753	22631
970	732462	21875
971	733224	21121
972	734018	20368
973	734727	19612
974	735432	18857
975	736274	18105
976	737034	17350
977	737805	16596
978	738652	15844
979	739389	15089
980	740159	14335
981	740863	13579
982	741547	12824
983	742302	12069
984	742999	11314
985	743759	10560
986	744463	9805
987	745207	9051
988	745978	8297
989	746729	7542
990	747413	6787
991	748221	6034
992	748925	5279
993	749677	4525
994	750407	3770
995	751133	3016
996	751954	2262
997	752639	1508
998	753429	754
999	754389	0
