iter	MultiClass
0	1.084628348
1	1.074167468
2	1.064601006
3	1.05655161
4	1.050416193
5	1.044512749
6	1.038082577
7	1.032814073
8	1.028174793
9	1.023282936
10	1.018644553
11	1.014594472
12	1.010543018
13	1.006785377
14	1.003317916
15	0.9997154469
16	0.9961791312
17	0.9925928991
18	0.9891793742
19	0.986401518
20	0.9834627589
21	0.9807745753
22	0.9779715102
23	0.9754000587
24	0.9725535583
25	0.9700663428
26	0.9675256296
27	0.9649960023
28	0.9624120557
29	0.9604894446
30	0.9583968313
31	0.9562984041
32	0.9546446016
33	0.9526653844
34	0.9505549153
35	0.9489244172
36	0.9471723902
37	0.9452794377
38	0.9437128035
39	0.9418329514
40	0.9398562113
41	0.9381845025
42	0.9368081499
43	0.9353730853
44	0.9337718533
45	0.9320487036
46	0.9304213449
47	0.9289739292
48	0.9276770495
49	0.9265050741
50	0.9248185742
51	0.9232275059
52	0.9215708354
53	0.9201560288
54	0.918759088
55	0.9173499219
56	0.916219369
57	0.9150037974
58	0.9138334425
59	0.9125057642
60	0.9112258795
61	0.9098365013
62	0.9088406893
63	0.9077352633
64	0.9065640858
65	0.905703965
66	0.9046338288
67	0.9036139556
68	0.9023891134
69	0.9011818979
70	0.9002802178
71	0.8992091743
72	0.8982852889
73	0.8971874298
74	0.8961986981
75	0.8950588033
76	0.8939933057
77	0.893151708
78	0.8922490353
79	0.8912619337
80	0.8902405963
81	0.8893626607
82	0.8883467189
83	0.8872677038
84	0.8862730133
85	0.8853133781
86	0.8843505655
87	0.8834965879
88	0.8823615384
89	0.8817366567
90	0.8808944822
91	0.8800300306
92	0.8793424596
93	0.878656778
94	0.8779132729
95	0.877194143
96	0.8763462673
97	0.8756764528
98	0.8749332374
99	0.8742466259
100	0.8735432759
101	0.8725952157
102	0.871955851
103	0.8711005917
104	0.8704052597
105	0.8697027079
106	0.8687856808
107	0.868095759
108	0.8674108103
109	0.8666265978
110	0.8657556764
111	0.8650211129
112	0.8643138597
113	0.8637075874
114	0.862984109
115	0.8622355217
116	0.8614850422
117	0.8606692799
118	0.8600207071
119	0.8593069214
120	0.858480309
121	0.8577751536
122	0.8568941218
123	0.8562049401
124	0.8553335744
125	0.8546586576
126	0.853941462
127	0.8532575939
128	0.8525174919
129	0.8517933902
130	0.8511939648
131	0.8504082869
132	0.8495618925
133	0.8488876676
134	0.848302045
135	0.8476540688
136	0.8469636884
137	0.8462026631
138	0.8454640927
139	0.844777049
140	0.844070601
141	0.8434724032
142	0.8428143946
143	0.8421270145
144	0.841434317
145	0.8408615201
146	0.8402277215
147	0.8395608184
148	0.838916983
149	0.838174848
150	0.8372359917
151	0.8363223856
152	0.8356099699
153	0.8350936543
154	0.8344661139
155	0.833854975
156	0.8332306529
157	0.8326861538
158	0.8319989788
159	0.8314165259
160	0.8308827507
161	0.8302730195
162	0.8296688453
163	0.8292003922
164	0.8284381816
165	0.8276918726
166	0.8272027988
167	0.8265423153
168	0.8259171716
169	0.8252888595
170	0.8246781926
171	0.8240546958
172	0.8235267968
173	0.8229834169
174	0.8225013992
175	0.8220670792
176	0.8214748844
177	0.820929319
178	0.8204517134
179	0.8199297328
180	0.8194461665
181	0.8189684658
182	0.8185243315
183	0.8179945374
184	0.8174447466
185	0.8169851631
186	0.8164716387
187	0.8159094721
188	0.8153824831
189	0.8148304432
190	0.8143981743
191	0.8139907893
192	0.8134394803
193	0.8129302665
194	0.8124385062
195	0.8120333787
196	0.8115454029
197	0.8110260652
198	0.8104660702
199	0.8100526507
200	0.8095684867
201	0.8090260948
202	0.8085885714
203	0.8081915702
204	0.8077783618
205	0.8073709212
206	0.8070215488
207	0.8066491395
208	0.8061341928
209	0.8056515172
210	0.8053001147
211	0.8048471586
212	0.8044120871
213	0.803822932
214	0.8033089675
215	0.8028565626
216	0.8023036474
217	0.8018956147
218	0.8014386936
219	0.8010033054
220	0.8006960614
221	0.8003369074
222	0.7999341071
223	0.7994546293
224	0.7990270672
225	0.7986201243
226	0.7982701021
227	0.7978860444
228	0.7975321788
229	0.797058113
230	0.7966675669
231	0.796338462
232	0.7959779673
233	0.7956012731
234	0.795232646
235	0.7947702047
236	0.7944175667
237	0.7939696815
238	0.7932502582
239	0.7928839711
240	0.7925186744
241	0.7922304492
242	0.7919662384
243	0.7914846566
244	0.7911347981
245	0.7908516639
246	0.7905120734
247	0.7902308542
248	0.7898323371
249	0.7894166219
250	0.7890061739
251	0.7886580005
252	0.7880689784
253	0.7877195856
254	0.787260409
255	0.7869976043
256	0.7866396251
257	0.7863867509
258	0.7861046298
259	0.7857578175
260	0.7854390023
261	0.7851198257
262	0.7847053676
263	0.7842526493
264	0.7839579073
265	0.7835827523
266	0.7833092535
267	0.7830357469
268	0.7828128254
269	0.7823251034
270	0.7820726066
271	0.7817439821
272	0.7814895321
273	0.7811888864
274	0.7807666217
275	0.780493671
276	0.7801043276
277	0.779708333
278	0.7792263268
279	0.7789825816
280	0.7786973054
281	0.7784305323
282	0.7780646474
283	0.777806422
284	0.7774987809
285	0.7772641694
286	0.7769567642
287	0.7767375
288	0.7763300009
289	0.7759819613
290	0.7755936384
291	0.7753224497
292	0.7749550333
293	0.7746636607
294	0.7742879052
295	0.7739611801
296	0.7736511534
297	0.7733113098
298	0.7730040459
299	0.7726178591
300	0.77230997
301	0.7720536517
302	0.7715905188
303	0.7713151005
304	0.7710676514
305	0.7706734681
306	0.7702937812
307	0.7701069103
308	0.7696988451
309	0.7694064216
310	0.7689991144
311	0.7685099032
312	0.7682065705
313	0.7679029994
314	0.7675605124
315	0.7672447784
316	0.7670101188
317	0.7666996276
318	0.7663601869
319	0.7661773618
320	0.7659342099
321	0.7655737849
322	0.7653352389
323	0.765082833
324	0.7647963199
325	0.764593509
326	0.7642127666
327	0.7639456223
328	0.763791991
329	0.7635268051
330	0.7632939958
331	0.7630498341
332	0.7627268251
333	0.762477099
334	0.7622542963
335	0.7620087666
336	0.761731818
337	0.7615330987
338	0.7611817408
339	0.7608710963
340	0.7606016784
341	0.760396159
342	0.7600981629
343	0.7597864287
344	0.759554944
345	0.7593096236
346	0.7591043331
347	0.7586837411
348	0.7584528298
349	0.7582265761
350	0.758023801
351	0.7577615563
352	0.7575564814
353	0.7572086613
354	0.756937968
355	0.7567093564
356	0.7564190183
357	0.7562078276
358	0.7559975055
359	0.7557052891
360	0.7554148829
361	0.7552206264
362	0.7549566149
363	0.7547547985
364	0.7544276286
365	0.7541810837
366	0.753853941
367	0.7535615002
368	0.7532862966
369	0.7530447064
370	0.7528433447
371	0.7525328722
372	0.7522668697
373	0.7519570227
374	0.7516206321
375	0.7513159623
376	0.7511284156
377	0.7508653136
378	0.7506609386
379	0.7504283054
380	0.7502244827
381	0.7499824458
382	0.7498304723
383	0.7494909708
384	0.749275764
385	0.7491027255
386	0.7488682065
387	0.7486984959
388	0.7483734162
389	0.7481410973
390	0.7478491862
391	0.7475888722
392	0.7473984447
393	0.7471694276
394	0.746911411
395	0.7466922539
396	0.7464469578
397	0.7462633643
398	0.7460886533
399	0.7458702833
400	0.7456972613
401	0.7454612235
402	0.7452589604
403	0.7449792527
404	0.7448266406
405	0.7446364999
406	0.744520078
407	0.7442747227
408	0.7438938472
409	0.7437019008
410	0.7435544414
411	0.743328576
412	0.7431390504
413	0.7429818953
414	0.7428469322
415	0.7425747038
416	0.7423820043
417	0.7421008296
418	0.7419031592
419	0.7416726976
420	0.7414681938
421	0.7412647446
422	0.7411037614
423	0.7409313594
424	0.740714021
425	0.7405236929
426	0.7403091064
427	0.7400251622
428	0.7395601243
429	0.7393752833
430	0.7391106343
431	0.7389400702
432	0.7386964143
433	0.7383990446
434	0.7380100882
435	0.7377020256
436	0.7374848209
437	0.7373409023
438	0.7370757082
439	0.7368087102
440	0.7366083405
441	0.7363565689
442	0.7361523272
443	0.7359750963
444	0.7357624526
445	0.7355287594
446	0.7353186239
447	0.7351644214
448	0.7349995647
449	0.7348380103
450	0.7347057199
451	0.7345209823
452	0.7343499513
453	0.7341178262
454	0.7338974777
455	0.7337719581
456	0.733529869
457	0.7333878127
458	0.7331495006
459	0.7328993597
460	0.7326514005
461	0.7323543491
462	0.7322317313
463	0.7319526962
464	0.7317818905
465	0.7315377056
466	0.7312530882
467	0.7309730235
468	0.7308469296
469	0.7307062349
470	0.7304601756
471	0.7302787343
472	0.7301610714
473	0.7299374531
474	0.7297798869
475	0.7295746081
476	0.7294127327
477	0.7292025193
478	0.7290427617
479	0.7288505066
480	0.7285070219
481	0.7283327796
482	0.7279658209
483	0.727800467
484	0.7275668744
485	0.7273934455
486	0.7272473645
487	0.7270766983
488	0.7269181468
489	0.7267275494
490	0.7265697679
491	0.7263677227
492	0.7261903113
493	0.7259894486
494	0.7258466585
495	0.7257410381
496	0.7255676728
497	0.7253500007
498	0.725154613
499	0.7250008889
500	0.7247799089
501	0.7244356429
502	0.7242893047
503	0.7240371085
504	0.7238848322
505	0.7237488446
506	0.7234546845
507	0.7231288162
508	0.7229811758
509	0.7228332394
510	0.7225734443
511	0.7224117092
512	0.7222956963
513	0.7221516853
514	0.7219376051
515	0.7217644899
516	0.7213990074
517	0.7212702936
518	0.7211458405
519	0.7209948809
520	0.7208548254
521	0.7206867929
522	0.7205186291
523	0.7203513258
524	0.7201942057
525	0.7200571157
526	0.7197911449
527	0.7196096058
528	0.7195249353
529	0.7193227395
530	0.7190654676
531	0.7189086369
532	0.71870179
533	0.7184726596
